"title";"Title";"Published";"category";"sub_category";"creator";"subject";"keywords";"Item Url";"Description"
"Wired";"Amazon’s AI Guru Is So Totally Over the Turing Test";"2021-04-30T16:00";"Business";"Business / Tech Culture";"Steven Levy";"Plaintext";"Plaintext, artificial intelligence, machine learning, voice assistants, Alan Turing";"https://www.wired.com/story/plaintext-amazon-ai-guru-over-the-turing-test";"Plus: Robot reporters, Apple’s post-Jobs essence, and an Unhappy Gilmore TikTok."
"Wired";"Want to Start a Podcast or Livestream? Here’s the Gear You Need";"2021-04-30T16:00";"Gear";"Gear / Buying Guides";"Parker Hall";"Mic Check";"podcasts, live streaming, Shopping, buying guides, audio, Accessories and Peripherals";"https://www.wired.com/story/best-podcast-and-livestream-gear";"Now is the time to create your own content. These tools can help you get great audio and video quality from the start."
"Wired";"'The Handmaid's Tale' Hits Hard in Covid-Era America";"2021-04-30T16:00";"Culture";"Culture / Culture News";"Angela Watercutter";"The Monitor";"The Monitor, TV, Hulu";"https://www.wired.com/story/the-handmaids-tale-hits-hard-covid-era-america";"Hulu's adaptation of Margaret Atwood's book has always felt of-the-moment—now more than ever."
"Wired";"Google's Grand Plan to Eradicate Cookies Is Crumbling";"2021-04-30T15:00";"Security";"Security / Privacy";"Matt Burgess, WIRED UK";"Backlash";"Wired UK, cookies, privacy, google, Regulation";"https://www.wired.com/story/googles-grand-plan-to-eradicate-cookies-is-crumbling";"Regulators in the EU and competitors have raised concerns about the company's proposals to rewrite the rules of online advertising."
"Wired";"Adam Savage's Apron Is Tailor-Made for Your Toughest Projects";"2021-04-30T15:00";"Gear";"Gear / Reviews";"Jess Grey";"Product Review";"Shopping, Craft Room, DIY, clothing, tools, review";"https://www.wired.com/review/savage-industries-apron";"Whether you paint nails or houses, the Savage Industries Apron can stylishly and comfortably hold all your tools."
"Wired";"New Pokémon Snap Doesn't Want Your Avant-Garde Photography";"2021-04-30T15:00";"Culture";"Culture / Video Games";"Gabriel Solis";"shutter bug";"Nintendo, video games, Reviews, game reviews, Pokemon, Photography";"https://www.wired.com/review/new-pokemon-snap-review";"The successor to the 1999 classic is a fun romp through a new Pokémon landscape, but don’t expect a revolutionary approach to photography."
"Wired";"How One Naughty Bird Cheats With Fancy Feather Structures";"2021-04-30T14:00";"Science";"Science / Environment";"Matt Simon";"Lovely Plumage";"birds, animals, animal behavior, Biology, Evolution, Reproduction";"https://www.wired.com/story/how-one-naughty-bird-cheats-with-fancy-feather-structures";"For male tanager birds, carotenoid feather pigments just aren't flashy enough. They have another way to make their colors really pop."
"Wired";"How User Data Privacy and Antitrust Law Got All Tangled Up";"2021-04-30T14:00";"Gear";"Gear / Gadget Lab Podcast";"WIRED Staff";"Gadget Lab Podcast";"Gadget Lab Podcast, podcasts, apple, ios, privacy, Facebook, ad-targeting, Antitrust";"https://www.wired.com/story/gadget-lab-podcast-502";"This week we look at how the latest iPhone software update ties into the debate about regulating big tech."
"Wired";"New York Returns Its Police ‘Robodog’ After a Public Outcry";"2021-04-30T14:00";"Business";"Business / Artificial Intelligence";"Sidney Fussell";"Sit. Stay.";"Police, surveillance, Cities, new york, boston dynamics";"https://www.wired.com/story/new-york-returns-police-robodog-after-public-outcry";"City residents and elected officials pushed back after videos showed the Boston Dynamics robot in action."
"Wired";"Black Pain Will Never Stop Trending";"2021-04-30T14:00";"Culture";"Culture / Movies";"Jason Parham";"Digital Culture";;"https://www.wired.com/story/black-pain-two-distant-strangers-social-media";"From the Oscar-winning Two Distant Strangers to lived reality to social media, the spectacle of trauma is unrelenting."
